Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hong Kong,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Macau,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Unknown,Xinjiang,Yunnan,Zhejiang
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
07-04-2020,6,9,6,1,2,8,2,2,6,6,13,22,7,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-05-2020,6,9,6,1,2,8,2,2,6,6,13,22,7,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-06-2020,6,9,6,1,2,8,2,2,6,6,13,22,7,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-07-2020,6,9,6,1,2,8,2,2,6,6,13,22,7,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-08-2020,6,9,6,1,2,8,2,2,6,6,13,22,7,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-09-2020,6,9,6,1,2,8,2,2,6,6,13,22,7,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-10-2020,6,9,6,1,2,8,2,2,6,6,13,22,7,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-11-2020,6,9,6,1,2,8,2,2,6,6,13,22,7,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-12-2020,6,9,6,1,2,8,2,2,6,6,13,22,7,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-13-2020,6,9,6,1,2,8,2,2,6,6,13,22,7,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-14-2020,6,9,6,1,2,8,2,2,6,6,13,22,8,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-15-2020,6,9,6,1,2,8,2,2,6,6,13,22,10,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-16-2020,6,9,6,1,2,8,2,2,6,6,13,22,10,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-17-2020,6,9,6,1,2,8,2,2,6,6,13,22,10,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-18-2020,6,9,6,1,2,8,2,2,6,6,13,22,10,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-19-2020,6,9,6,1,2,8,2,2,6,6,13,22,10,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-20-2020,6,9,6,1,2,8,2,2,6,6,13,22,10,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-21-2020,6,9,6,1,2,8,2,2,6,6,13,22,10,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-22-2020,6,9,6,1,2,8,2,2,6,6,13,22,14,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-23-2020,6,9,6,1,2,8,2,2,6,6,13,22,15,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-24-2020,6,9,6,1,2,8,2,2,6,6,13,22,16,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-25-2020,6,9,6,1,2,8,2,2,6,6,13,22,18,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-26-2020,6,9,6,1,2,8,2,2,6,6,13,22,18,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-27-2020,6,9,6,1,2,8,2,2,6,6,13,22,22,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-28-2020,6,9,6,1,2,8,2,2,6,6,13,22,23,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-29-2020,6,9,6,1,2,8,2,2,6,6,13,22,24,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-30-2020,6,9,6,1,2,8,2,2,6,6,13,22,25,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-31-2020,6,9,6,1,2,8,2,2,6,6,13,22,27,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
08-01-2020,6,9,6,1,2,8,2,2,6,6,13,22,33,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
08-02-2020,6,9,6,1,2,8,2,2,6,6,13,22,35,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
08-03-2020,6,9,6,1,2,8,2,2,6,6,13,22,38,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
08-04-2020,6,9,6,1,2,8,2,2,6,6,13,22,42,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
08-05-2020,6,9,6,1,2,8,2,2,6,6,13,22,43,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
08-06-2020,6,9,6,1,2,8,2,2,6,6,13,22,46,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
08-07-2020,6,9,6,1,2,8,2,2,6,6,13,22,47,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
08-08-2020,6,9,6,1,2,8,2,2,6,6,13,22,47,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
08-09-2020,6,9,6,1,2,8,2,2,6,6,13,22,52,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
08-10-2020,6,9,6,1,2,8,2,2,6,6,13,22,55,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
08-11-2020,6,9,6,1,2,8,2,2,6,6,13,22,59,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
08-12-2020,6,9,6,1,2,8,2,2,6,6,13,22,63,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
08-13-2020,6,9,6,1,2,8,2,2,6,6,13,22,66,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
